column,row_count,blank_count,nonblank_count,unique_nonblank_count,duplicate_nonblank_count,sample_values
show_id,8807,0,8807,8807,0,s1 | s2 | s3 | s4 | s5
type,8807,0,8807,2,8805,Movie | TV Show | TV Show | TV Show | TV Show
title,8807,1,8806,8800,6,Dick Johnson Is Dead | Blood & Water | Ganglands | Jailbirds New Orleans | Kota Factory
director,8807,2634,6173,4526,1647,"Kirsten Johnson | Julien Leclercq | Mike Flanagan | Robert Cullen, José Luis Ucha | Haile Gerima"
cast,8807,825,7982,7692,290,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng | Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera | Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar | Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver | Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr"
country,8807,831,7976,748,7228,"United States | South Africa | India | United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia | United Kingdom"
date_added,8807,10,8797,1714,7083,"September 25, 2021 | September 24, 2021 | September 24, 2021 | September 24, 2021 | September 24, 2021"
release_year,8807,0,8807,74,8733,2020 | 2021 | 2021 | 2021 | 2021
rating,8807,4,8803,17,8786,PG-13 | TV-MA | TV-MA | TV-MA | TV-MA
duration,8807,3,8804,220,8584,90 min | 2 Seasons | 1 Season | 1 Season | 2 Seasons
listed_in,8807,0,8807,514,8293,"Documentaries | International TV Shows, TV Dramas, TV Mysteries | Crime TV Shows, International TV Shows, TV Action & Adventure | Docuseries, Reality TV | International TV Shows, Romantic TV Shows, TV Comedies"
description,8807,0,8807,8775,32,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable. | After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth. | To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war. | Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series. | In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
