Content ID,Title,Type,Country,Original Language,Release Year,Rating,Genre,Runtime (min),Seasons,Episodes,Studio,Production Company,Acquisition Type,License Expiration,Audience Score,Critic Score,Viewing Hours,Completion Rate,Cost (USD),Region Availability,Keywords,Awards,Featured Collection,Date Added,Description
CNT-000001,Fantasy Legacy 1,Movie,United States,English,2000,PG-13,Fantasy,148,,,Netflix Studios,North Star,Original,2027-01-09,97,67,15673726,63,903091,APAC,"family, survival, love",BAFTA,Hidden Gems,2023-10-14,A fantasy movie produced in United States.
CNT-000002,Fantasy Legacy 2,Movie,United States,English,1994,R,Fantasy,157,,,BBC,VisionWorks,Licensed,2027-01-11,84,90,9709555,74,485139,North America,"friendship, history, space",Emmy Winner,,2025-08-15,A fantasy movie produced in United States.
CNT-000003,Thriller Legacy 3,Movie,United States,English,2001,TV-G,Thriller,99,,,Toei,Blue Sky,Exclusive,2028-02-26,91,51,11150795,65,14817223,LATAM,"survival, space, crime",BAFTA,New Releases,2024-05-07,A thriller movie produced in United States.
CNT-000004,Documentary Chronicles 4,TV Show,United Kingdom,English,2009,PG-13,Documentary,25,8,48,A24,North Star,Original,2025-03-30,59,49,16477774,46,10552048,LATAM,"crime, mystery, survival",Festival Selection,Family Picks,2024-01-16,A documentary tv show produced in United Kingdom.
CNT-000005,Romance Chronicles 5,TV Show,United Kingdom,English,1994,TV-14,Romance,49,6,72,CJ ENM,North Star,Licensed,2029-07-23,94,61,16999272,50,13621803,LATAM,"crime, sports, mystery",None,Award Winners,2026-07-03,A romance tv show produced in United Kingdom.
CNT-000006,Comedy Legacy 6,Movie,Canada,English,2018,PG,Comedy,154,,,TV Tokyo,Global Media,Original,2026-09-08,65,64,6353406,51,14598903,North America,"sports, space, crime",BAFTA,Family Picks,2023-11-10,A comedy movie produced in Canada.
CNT-000007,Reality Chronicles 7,TV Show,Canada,English,1993,TV-14,Reality,28,6,72,Canal+,VisionWorks,Original,2026-09-15,94,58,5720699,77,9817945,Global,"mystery, history, sports",Emmy Winner,Award Winners,2024-10-16,A reality tv show produced in Canada.
CNT-000008,Thriller Chronicles 8,TV Show,United Kingdom,English,2019,PG-13,Thriller,29,2,12,BBC,Blue Sky,Licensed,2030-09-29,97,93,1469876,87,4996718,North America,"love, space, sports",None,Trending Now,2025-10-04,A thriller tv show produced in United Kingdom.
CNT-000009,Horror Legacy 9,Movie,United States,English,2008,TV-14,Horror,88,,,TV Tokyo,VisionWorks,Original,2028-10-04,92,78,14709139,85,14463476,North America,"history, sports, love",Festival Selection,,2025-04-21,A horror movie produced in United States.
CNT-000010,Comedy Chronicles 10,TV Show,United States,English,2002,PG-13,Comedy,38,8,48,Toei,Blue Sky,Licensed,2024-11-10,85,62,17442692,71,5360569,LATAM,"mystery, friendship, history",Emmy Winner,Trending Now,2023-01-14,A comedy tv show produced in United States.
CNT-000011,Drama Legacy 11,Movie,United Kingdom,English,1995,TV-MA,Drama,138,,,Toei,Blue Sky,Exclusive,2026-06-24,76,45,11096535,89,1533963,Europe,"survival, love, family",Festival Selection,Hidden Gems,2023-12-18,A drama movie produced in United Kingdom.
CNT-000012,Thriller Chronicles 12,TV Show,Japan,Japanese,2019,G,Thriller,36,6,66,A24,VisionWorks,Licensed,2028-07-13,68,62,2779455,95,14222035,Global,"friendship, crime, space",Festival Selection,Hidden Gems,2026-03-25,A thriller tv show produced in Japan.
